ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p27,1,54,3,21,382.7993,383.7683,Main,Hit,383.2549,383.2683,Right,28,3,1.5,0.7889252,1.2098,posture_decision_experiment/p27/S001/movement_head_T054.csv,posture_decision_experiment/p27/S001/movement_right_hand_T054.csv,posture_decision_experiment/p27/S001/movement_left_hand_T054.csv
p27,1,55,3,22,387.8878,388.6463,Main,Miss,388.2514,388.4463,Left,28,3,1,0.4000092,1.274,posture_decision_experiment/p27/S001/movement_head_T055.csv,posture_decision_experiment/p27/S001/movement_right_hand_T055.csv,posture_decision_experiment/p27/S001/movement_left_hand_T055.csv
p27,1,56,3,23,392.4631,393.2464,Main,Skipped,392.808,393.1575,Right,29,3,1.3,0.7222443,1.493,posture_decision_experiment/p27/S001/movement_head_T056.csv,posture_decision_experiment/p27/S001/movement_right_hand_T056.csv,posture_decision_experiment/p27/S001/movement_left_hand_T056.csv
p27,1,57,3,24,396.675,397.3466,Main,Skipped,397.0862,397.2354,Left,30,3,1.5,0.7889252,1.4149,posture_decision_experiment/p27/S001/movement_head_T057.csv,posture_decision_experiment/p27/S001/movement_right_hand_T057.csv,posture_decision_experiment/p27/S001/movement_left_hand_T057.csv
p27,1,58,3,25,400.6083,401.3689,Main,Hit,400.9748,401.0911,Right,33,3,1.3,0.7222443,1.2442,posture_decision_experiment/p27/S001/movement_head_T058.csv,posture_decision_experiment/p27/S001/movement_right_hand_T058.csv,posture_decision_experiment/p27/S001/movement_left_hand_T058.csv
p27,1,59,3,26,405.3634,406.3024,Main,Hit,405.8416,405.858,Left,36,3,1.5,0.7889252,1.378,posture_decision_experiment/p27/S001/movement_head_T059.csv,posture_decision_experiment/p27/S001/movement_right_hand_T059.csv,posture_decision_experiment/p27/S001/movement_left_hand_T059.csv
p27,1,60,3,27,410.4187,411.2137,Main,Miss,410.8088,410.9359,Left,36,3,1,0.4000092,1.3801,posture_decision_experiment/p27/S001/movement_head_T060.csv,posture_decision_experiment/p27/S001/movement_right_hand_T060.csv,posture_decision_experiment/p27/S001/movement_left_hand_T060.csv
p27,1,61,3,28,414.1975,414.836,Main,Skipped,414.5419,414.7249,Left,37,3,1.3,0.7222443,0.9684,posture_decision_experiment/p27/S001/movement_head_T061.csv,posture_decision_experiment/p27/S001/movement_right_hand_T061.csv,posture_decision_experiment/p27/S001/movement_left_hand_T061.csv
p27,1,62,3,29,417.7422,418.9584,Main,Miss,418.2422,418.7251,Right,37,3,1.3,0.7222443,0.8866,posture_decision_experiment/p27/S001/movement_head_T062.csv,posture_decision_experiment/p27/S001/movement_right_hand_T062.csv,posture_decision_experiment/p27/S001/movement_left_hand_T062.csv
p27,1,63,3,30,422.4657,423.6141,Main,Hit,422.9087,423.2808,Right,40,3,1.5,0.7889252,1.0925,posture_decision_experiment/p27/S001/movement_head_T063.csv,posture_decision_experiment/p27/S001/movement_right_hand_T063.csv,posture_decision_experiment/p27/S001/movement_left_hand_T063.csv
p27,1,64,3,31,427.7757,428.6587,Main,Skipped,428.0977,428.5365,Left,41,3,1.3,0.7222443,1.0056,posture_decision_experiment/p27/S001/movement_head_T064.csv,posture_decision_experiment/p27/S001/movement_right_hand_T064.csv,posture_decision_experiment/p27/S001/movement_left_hand_T064.csv
p27,1,65,3,32,432.4753,433.4478,Main,Hit,432.842,433.1811,Right,44,3,1.3,0.7222443,1.0076,posture_decision_experiment/p27/S001/movement_head_T065.csv,posture_decision_experiment/p27/S001/movement_right_hand_T065.csv,posture_decision_experiment/p27/S001/movement_left_hand_T065.csv
p27,1,66,3,33,436.6424,437.7146,Main,Skipped,437.02,437.6146,Left,45,3,1.5,0.7889252,1.1727,posture_decision_experiment/p27/S001/movement_head_T066.csv,posture_decision_experiment/p27/S001/movement_right_hand_T066.csv,posture_decision_experiment/p27/S001/movement_left_hand_T066.csv
p27,1,67,3,34,440.5152,441.3369,Main,NoGo,440.9376,,,45,3,1,0.4000092,0.7865,posture_decision_experiment/p27/S001/movement_head_T067.csv,posture_decision_experiment/p27/S001/movement_right_hand_T067.csv,posture_decision_experiment/p27/S001/movement_left_hand_T067.csv
p27,1,68,3,35,445.0162,445.726,Main,NoGo,445.3278,,,45,3,1,0.4000092,0.895,posture_decision_experiment/p27/S001/movement_head_T068.csv,posture_decision_experiment/p27/S001/movement_right_hand_T068.csv,posture_decision_experiment/p27/S001/movement_left_hand_T068.csv
p27,1,69,3,36,449.0836,449.6705,Main,Skipped,449.5057,449.5816,Left,46,3,1.5,0.7889252,0.9713,posture_decision_experiment/p27/S001/movement_head_T069.csv,posture_decision_experiment/p27/S001/movement_right_hand_T069.csv,posture_decision_experiment/p27/S001/movement_left_hand_T069.csv
p27,1,70,3,37,453.1506,453.8707,Main,NoGo,453.4726,,,46,3,1,0.4000092,1.4634,posture_decision_experiment/p27/S001/movement_head_T070.csv,posture_decision_experiment/p27/S001/movement_right_hand_T070.csv,posture_decision_experiment/p27/S001/movement_left_hand_T070.csv
p27,1,71,3,38,456.8173,457.6708,Main,NoGo,457.2727,,,46,3,1,0.4000092,0.9299,posture_decision_experiment/p27/S001/movement_head_T071.csv,posture_decision_experiment/p27/S001/movement_right_hand_T071.csv,posture_decision_experiment/p27/S001/movement_left_hand_T071.csv
p27,1,72,3,39,461.1617,461.9265,Main,Skipped,461.6174,461.8154,Left,47,3,1.3,0.7222443,1.477,posture_decision_experiment/p27/S001/movement_head_T072.csv,posture_decision_experiment/p27/S001/movement_right_hand_T072.csv,posture_decision_experiment/p27/S001/movement_left_hand_T072.csv
p27,1,73,3,40,465.4171,466.2378,Main,Hit,465.8952,466.0711,Left,50,3,1,0.4000092,1.4731,posture_decision_experiment/p27/S001/movement_head_T073.csv,posture_decision_experiment/p27/S001/movement_right_hand_T073.csv,posture_decision_experiment/p27/S001/movement_left_hand_T073.csv
p27,1,74,3,41,469.3069,469.7156,Main,FailTooEarly,,,,50,3,1,0.4000092,1.0488,posture_decision_experiment/p27/S001/movement_head_T074.csv,posture_decision_experiment/p27/S001/movement_right_hand_T074.csv,posture_decision_experiment/p27/S001/movement_left_hand_T074.csv
p27,1,75,3,42,472.7844,473.7269,Main,Skipped,473.1177,473.6158,Left,51,3,1.5,0.7889252,1.0576,posture_decision_experiment/p27/S001/movement_head_T075.csv,posture_decision_experiment/p27/S001/movement_right_hand_T075.csv,posture_decision_experiment/p27/S001/movement_left_hand_T075.csv
p27,1,76,3,43,476.9067,477.7159,Main,NoGo,477.3181,,,51,3,1,0.4000092,1.1679,posture_decision_experiment/p27/S001/movement_head_T076.csv,posture_decision_experiment/p27/S001/movement_right_hand_T076.csv,posture_decision_experiment/p27/S001/movement_left_hand_T076.csv
p27,1,77,3,44,480.9848,481.9049,Main,Skipped,481.318,481.8049,Left,52,3,1.5,0.7889252,1.2504,posture_decision_experiment/p27/S001/movement_head_T077.csv,posture_decision_experiment/p27/S001/movement_right_hand_T077.csv,posture_decision_experiment/p27/S001/movement_left_hand_T077.csv
p27,1,78,3,45,485.2841,485.7162,Main,FailTooEarly,,,,52,3,1,0.4000092,1.3612,posture_decision_experiment/p27/S001/movement_head_T078.csv,posture_decision_experiment/p27/S001/movement_right_hand_T078.csv,posture_decision_experiment/p27/S001/movement_left_hand_T078.csv
p27,1,79,3,46,488.6736,489.6719,Main,Skipped,489.0288,489.5608,Left,53,3,1.3,0.7222443,0.9426,posture_decision_experiment/p27/S001/movement_head_T079.csv,posture_decision_experiment/p27/S001/movement_right_hand_T079.csv,posture_decision_experiment/p27/S001/movement_left_hand_T079.csv
p27,1,80,3,47,492.5962,493.672,Main,Miss,492.9514,493.572,Left,53,3,1.3,0.7222443,0.9093,posture_decision_experiment/p27/S001/movement_head_T080.csv,posture_decision_experiment/p27/S001/movement_right_hand_T080.csv,posture_decision_experiment/p27/S001/movement_left_hand_T080.csv
p27,1,81,3,48,496.5413,497.6388,Main,NoGo,500.1853,,,53,3,1.3,0.7222443,0.8579,posture_decision_experiment/p27/S001/movement_head_T081.csv,posture_decision_experiment/p27/S001/movement_right_hand_T081.csv,posture_decision_experiment/p27/S001/movement_left_hand_T081.csv
