ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_type,trial_outcome,go_signal_time,moved_from_start_block_time,selection,score,bubble_points,bubble_reldistance,bubble_activetime,delay_time,head_movement_relpath,right_hand_movement_relpath,left_hand_movement_relpath
p31,1,39,3,6,215.8726,216.785,Main,Miss,216.328,216.6739,Right,6,5,1,0.4666824,0.9103,posture_decision_experiment/p31/S001/movement_head_T039.csv,posture_decision_experiment/p31/S001/movement_right_hand_T039.csv,posture_decision_experiment/p31/S001/movement_left_hand_T039.csv
p31,1,40,3,7,220.1841,221.1963,Main,Miss,220.5837,221.0296,Left,6,5,1.3,0.6222382,1.382,posture_decision_experiment/p31/S001/movement_head_T040.csv,posture_decision_experiment/p31/S001/movement_right_hand_T040.csv,posture_decision_experiment/p31/S001/movement_left_hand_T040.csv
p31,1,41,3,8,224.4281,225.2297,Main,Skipped,224.8949,225.1408,Left,7,5,1,0.4666824,1.2155,posture_decision_experiment/p31/S001/movement_head_T041.csv,posture_decision_experiment/p31/S001/movement_right_hand_T041.csv,posture_decision_experiment/p31/S001/movement_left_hand_T041.csv
p31,1,42,3,9,228.4618,229.2299,Main,Skipped,228.8167,229.1521,Right,8,5,1.5,0.9333649,1.2208,posture_decision_experiment/p31/S001/movement_head_T042.csv,posture_decision_experiment/p31/S001/movement_right_hand_T042.csv,posture_decision_experiment/p31/S001/movement_left_hand_T042.csv
p31,1,43,3,10,232.6071,233.5744,Main,Hit,233.0065,233.3967,Left,13,5,1.3,0.6222382,1.3565,posture_decision_experiment/p31/S001/movement_head_T043.csv,posture_decision_experiment/p31/S001/movement_right_hand_T043.csv,posture_decision_experiment/p31/S001/movement_left_hand_T043.csv
p31,1,44,3,11,236.7177,237.519,Main,Skipped,237.0399,237.4523,Right,14,5,1.3,0.6222382,1.129,posture_decision_experiment/p31/S001/movement_head_T044.csv,posture_decision_experiment/p31/S001/movement_right_hand_T044.csv,posture_decision_experiment/p31/S001/movement_left_hand_T044.csv
p31,1,45,3,12,240.3511,241.3303,Main,Hit,240.7732,241.1525,Right,19,5,1.3,0.6222382,0.8209,posture_decision_experiment/p31/S001/movement_head_T045.csv,posture_decision_experiment/p31/S001/movement_right_hand_T045.csv,posture_decision_experiment/p31/S001/movement_left_hand_T045.csv
p31,1,46,3,13,244.8287,245.6193,Main,Skipped,245.1398,245.5304,Right,20,5,1.5,0.9333649,1.4851,posture_decision_experiment/p31/S001/movement_head_T046.csv,posture_decision_experiment/p31/S001/movement_right_hand_T046.csv,posture_decision_experiment/p31/S001/movement_left_hand_T046.csv
p31,1,47,3,14,248.5846,249.8861,Main,Miss,248.9512,249.4416,Right,20,5,1.5,0.9333649,0.9482,posture_decision_experiment/p31/S001/movement_head_T047.csv,posture_decision_experiment/p31/S001/movement_right_hand_T047.csv,posture_decision_experiment/p31/S001/movement_left_hand_T047.csv
p31,1,48,3,15,252.6735,253.5862,Main,Skipped,253.0623,253.4973,Left,21,5,1,0.4666824,0.7666,posture_decision_experiment/p31/S001/movement_head_T048.csv,posture_decision_experiment/p31/S001/movement_right_hand_T048.csv,posture_decision_experiment/p31/S001/movement_left_hand_T048.csv
p31,1,49,3,16,256.8961,257.7308,Main,Skipped,257.218,257.5975,Right,22,5,1.5,0.9333649,1.2891,posture_decision_experiment/p31/S001/movement_head_T049.csv,posture_decision_experiment/p31/S001/movement_right_hand_T049.csv,posture_decision_experiment/p31/S001/movement_left_hand_T049.csv
p31,1,50,3,17,260.6847,261.4532,Main,Skipped,261.0186,261.3643,Left,23,5,1,0.4666824,0.9348,posture_decision_experiment/p31/S001/movement_head_T050.csv,posture_decision_experiment/p31/S001/movement_right_hand_T050.csv,posture_decision_experiment/p31/S001/movement_left_hand_T050.csv
p31,1,51,3,18,264.7071,265.5755,Main,Hit,265.0299,265.3755,Left,28,5,1.3,0.6222382,1.2353,posture_decision_experiment/p31/S001/movement_head_T051.csv,posture_decision_experiment/p31/S001/movement_right_hand_T051.csv,posture_decision_experiment/p31/S001/movement_left_hand_T051.csv
